Year,Month,Day,Hour,v_10m_ms,v_100m_ms,Power_MW,CF_wind
2020,1,30,8,6.700530446850868,9.91077176478442,0.5564195587111362,0.5564195587111362
2020,1,30,9,6.18510502786234,9.148457570100385,0.43425839626133994,0.43425839626133994
2020,1,30,10,5.1542541898852825,7.623657372259322,0.24461382904775145,0.24461382904775145
2020,1,30,11,4.295211824904403,6.3531337144526,0.13487780112168485,0.13487780112168485
2020,1,30,12,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,1,30,13,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,1,30,14,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,1,30,15,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,1,30,16,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,1,30,17,1.2026593109732326,1.7789049294024075,0.0,0.0
2020,1,30,18,0.8590423649808805,1.2706954662797185,0.0,0.0
2020,1,30,19,0.8590423649808805,1.2706954662797185,0.0,0.0
2020,1,30,20,1.0308508379770565,1.5248001978410628,0.0,0.0
2020,1,30,21,1.2026593109732326,1.7789049294024075,0.0,0.0
2020,1,30,22,1.546276256965585,2.2871143925250963,0.0,0.0
2020,1,30,23,1.8898932029579372,2.7953238556477853,0.0,0.0
2020,1,31,0,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,1,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,2,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,31,3,1.546276256965585,2.2871143925250963,0.0,0.0
2020,1,31,4,1.546276256965585,2.2871143925250963,0.0,0.0
2020,1,31,5,1.546276256965585,2.2871143925250963,0.0,0.0
2020,1,31,6,1.546276256965585,2.2871143925250963,0.0,0.0
2020,1,31,7,1.718084729961761,2.541219124086441,0.0,0.0
2020,1,31,8,1.8898932029579372,2.7953238556477853,0.0,0.0
2020,1,31,9,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,1,31,10,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,11,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,12,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,31,13,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,31,14,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,15,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,16,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,17,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,1,31,18,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,31,19,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,1,31,20,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,31,21,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,1,31,22,3.95159487891205,5.844752442856914,0.10150696916774445,0.10150696916774445
2020,1,31,23,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,1,0,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,1,1,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,2,1,2,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,2,1,3,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,2,1,4,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,2,1,5,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,1,6,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,2,1,7,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,2,1,8,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,1,9,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,1,10,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,1,11,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,1,12,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,1,13,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,2,1,14,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,1,15,4.123403351908226,6.099028982891255,0.11750301153076637,0.11750301153076637
2020,2,1,16,4.467020297900579,6.607238446013944,0.15369956374330104,0.15369956374330104
2020,2,1,17,4.638828770896755,6.861343177575288,0.17402617362116546,0.17402617362116546
2020,2,1,18,4.810637243892931,7.115447909136632,0.19591550498082833,0.19591550498082833
2020,2,1,19,5.1542541898852825,7.623657372259322,0.24461382904775145,0.24461382904775145
2020,2,1,20,5.669679608873811,8.386143375416351,0.3308498915931263,0.3308498915931263
2020,2,1,21,5.841488081869987,8.640248106977696,0.3633322215493834,0.3633322215493834
2020,2,1,22,5.1542541898852825,7.623657372259322,0.24461382904775145,0.24461382904775145
2020,2,1,23,4.295211824904403,6.3531337144526,0.13487780112168485,0.13487780112168485
2020,2,2,0,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,2,1,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,2,2,2,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,2,3,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,2,4,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,2,5,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,2,2,6,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,2,7,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,2,2,8,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,2,9,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,2,10,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,2,11,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,2,12,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,2,2,13,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,2,2,14,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,2,15,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,2,16,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,2,17,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,2,18,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,2,19,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,2,20,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,2,2,21,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,2,22,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,2,23,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,0,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,3,1,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,3,2,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,3,3,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,3,4,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,3,5,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,6,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,7,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,8,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,9,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,10,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,11,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
